Months,England,Wales ,Scotland ,Northern Ireland
1/9/19,249637,164414,154874,139838
1/10/19,248842,166281,153953,140141
1/11/19,247867,168516,152528,140141
1/12/19,248097,166433,150287,140141
1/1/20,247898,163205,153518,140722
1/2/20,246739,165953,149582,140722
1/3/20,249121,167040,150625,140722
1/4/20,246424,160039,151779,140841
1/5/20,247499,162701,152914,140841
1/6/20,250739,167384,155329,140841
1/7/20,253226,168416,154582,143723
1/8/20,255802,172999,154707,143723
1/9/20,258155,170030,160585,143723
1/10/20,259592,175948,163019,147475
1/11/20,262409,178255,164032,147475
1/12/20,264971,181274,162375,147475
1/1/21,266588,181118,164940,149084
1/2/21,267192,179554,161847,149084
1/3/21,270627,184807,167913,149084
1/4/21,267500,182377,161814,154323
1/5/21,267295,185654,168589,154323
1/6/21,284252,196221,172341,154323
1/7/21,267745,187050,175659,159098
1/8/21,276457,192019,178076,159098
1/9/21,286832,198146,178865,159098
1/10/21,279281,200151,179557,159073
1/11/21,284326,199411,181503,159073
1/12/21,286235,202180,177243,159073
1/1/22,290724,205571,183445,163877
1/2/22,292005,203226,179490,163877
1/3/22,293721,205461,180964,163877
1/4/22,295928,209872,184109,169152
1/5/22,299851,211409,186967,169152
1/6/22,302869,213777,190668,169152
1/7/22,309139,218087,193090,176131
1/8/22,313526,219467,193708,176131
1/9/22,315355,223708,192804,176131
1/10/22,316073,223824,194874,176131
